TimeUS,RATE-R,ATT-Roll,RATE-P,ATT-Pitch,RATE-Y,ATT-Yaw,RCOU-C1,RCOU-C2,RCOU-C3,RCOU-C4,,,,,,,,
153307743,-0.1131645,1.87,-0.5364369,-1.05,1.408514,92.79,1000,1000,1000,1000,,,,,,,,
153407592,2.367175,1.79,-6.796612,-1.34,1.542337,93.08,1000,1000,1000,1000,,,,,,,,
153507590,3.732893,1.97,2.256618,-1.27,-4.083261,93.01,1000,1000,1000,1000,,,,,,,,
153607661,3.884166,1.88,2.541431,-1.34,2.926947,92.94,1000,1000,1000,1000,,,,,,,,
153707621,1.285208,1.81,0.5380142,-1.4,-2.055847,93.1,1000,1000,1000,1000,,,,,,,,
153807728,-0.8676669,1.85,-1.069306,-1.38,1.074108,92.91,1000,1000,1000,1000,,,,,,,,
153907749,-0.722166,1.84,-0.5786232,-1.36,0.2592643,93.12,1000,1000,1000,1000,,,,,,,,
154007760,-3.795342,1.48,-6.302023,-1.69,-5.881805,92.64,1000,1000,1000,1000,,,,,,,,
154107567,0.06744146,1.53,-5.987501,-1.76,11.8805,93.49,1000,1000,1000,1000,,,,,,,,
154207605,-4.317057,1.64,-8.860512,-1.66,-13.00856,93.25,1000,1000,1000,1000,,,,,,,,
154307612,-6.222341,1.11,-8.624517,-2.34,19.55816,93.44,1000,1000,1000,1000,,,,,,,,
154407809,-4.045936,0.52,0.3196933,-2.88,12.85289,95.34,1000,1000,1000,1000,,,,,,,,
154507758,-18.34689,-0.54,-7.264401,-3.25,18.22449,96.47,1000,1000,1000,1000,,,,,,,,
154607609,-17.21319,-2.39,3.706416,-3.44,11.60606,98.27,1000,1000,1000,1000,,,,,,,,
154707774,-26.55328,-5.02,2.352624,-2.85,13.93507,99.4,1000,1000,1000,1000,,,,,,,,
154807636,-20.38619,-7.62,12.26406,-1.85,24.04482,101.1,1000,1000,1000,1000,,,,,,,,
154907577,-11.96345,-9.41,17.06132,0.13,29.34741,103.8,1000,1000,1000,1000,,,,,,,,
155007596,31.05696,-8.18,13.07136,2.4,30.20213,106.27,1000,1000,1000,1000,,,,,,,,
155107768,24.4408,-4.87,-30.29372,1.84,38.78217,109.98,1000,1000,1000,1000,,,,,,,,
155207601,25.90551,-2.79,-20.43178,-1.2,40.04578,114.15,1000,1000,1000,1000,,,,,,,,
155307649,28.55203,-0.1,1.018102,-1.71,42.57906,118.21,1000,1000,1000,1000,,,,,,,,
155407819,22.93887,2.02,-20.54025,-2.44,67.41741,123.45,1000,1000,1000,1000,,,,,,,,
155507622,38.2037,4.91,-27.92219,-5.36,79.78689,131.09,1000,1000,1000,1000,,,,,,,,
155607722,24.00336,7.64,-12.33804,-8.48,54.01067,137.91,1000,1000,1000,1000,,,,,,,,
155707579,-8.262268,7.72,20.82376,-8.49,42.55162,142.49,1000,1000,1000,1000,,,,,,,,
155807599,-31.10673,5.08,43.74768,-5.54,64.51607,148.42,1000,1000,1000,1000,,,,,,,,
